env_steps,wall_clock_s,success_rate,mean_return,critic_loss,contact_frac
10000,24.9,0.05,-47.5,0.09027581936828998,0.11
20000,51.7,0.05,-47.5,0.09552380079235881,0.09
30000,79.2,0.05,-47.5,0.09398831405751407,0.105
40000,104.7,0.05,-47.5,0.09847687427699565,0.055
50000,131.2,0.05,-47.5,0.09487644887398929,0.1
60000,157.8,0.05,-47.5,0.10655654581207782,0.07
70000,184.9,0.05,-47.5,0.10634065205063671,0.085
80000,209.9,0.05,-47.5,0.1070993544012308,0.115
90000,235.3,0.05,-47.5,0.11025963662583381,0.105
100000,260.9,0.05,-47.5,0.11769162535797804,0.11
110000,285.9,0.05,-47.5,0.12389460423421114,0.115
120000,311.1,0.05,-47.5,0.1510015935169533,0.16
130000,336.8,0.05,-47.5,0.16158240882642566,0.12
140000,366.7,0.05,-47.5,0.16474226428773253,0.155
150000,391.5,0.05,-47.5,0.17588504370562733,0.2
160000,416.0,0.05,-47.35,0.19180966550447046,0.355
170000,441.6,0.05,-48.85,0.2497283242482692,0.575
180000,467.4,0.1,-44.9,0.3061123177178204,0.635
190000,492.2,0.15,-43.5,0.3791963887039572,0.75
200000,518.8,0.2,-44.5,0.4512194036021829,0.835
210000,546.5,0.2,-42.0,0.5243329127386213,0.905
220000,572.3,0.3,-36.55,0.5845451028347015,0.96
230000,597.4,0.2,-40.95,0.6725284474223853,0.93
240000,622.6,0.2,-40.2,0.7350320585548877,0.945
250000,649.7,0.45,-31.95,0.7852970013484358,0.975
260000,675.6,0.5,-33.25,0.8493227009564638,0.975
270000,702.5,0.55,-30.25,0.9099845823839307,0.95
