env_steps,wall_clock_s,success_rate,mean_return,critic_loss,contact_frac
10000,21.5,0.05,-47.5,0.0764268350800839,0.085
20000,44.5,0.05,-47.5,0.06641496353251859,0.055
30000,67.5,0.05,-47.5,0.06046762620601803,0.025
40000,89.6,0.05,-47.5,0.06319489229237661,0.08
50000,112.1,0.05,-47.5,0.06589039301248267,0.065
60000,134.6,0.05,-47.5,0.06912274954700842,0.045
70000,157.5,0.05,-47.5,0.06336617509974167,0.045
80000,181.4,0.05,-47.5,0.061396737309079616,0.085
90000,204.4,0.05,-47.5,0.06986831245170906,0.115
100000,226.9,0.05,-47.5,0.07668065694337711,0.09
110000,250.8,0.05,-47.5,0.0866910485273227,0.08
120000,273.7,0.05,-47.5,0.08453382226834073,0.05
130000,296.7,0.05,-47.5,0.08533178668096661,0.1
140000,319.9,0.05,-47.5,0.0856290003363043,0.085
150000,342.9,0.05,-47.5,0.08652792648365722,0.105
160000,365.9,0.05,-47.5,0.08496014466444031,0.055
170000,388.9,0.05,-47.5,0.07988018820015713,0.095
180000,411.9,0.05,-47.5,0.10723012177739293,0.09
190000,435.0,0.05,-47.5,0.08631458992911503,0.05
200000,458.0,0.05,-47.5,0.08769622034868226,0.07
210000,481.0,0.05,-47.5,0.0848201805928722,0.085
220000,504.0,0.05,-47.5,0.08419505596682429,0.075
230000,527.0,0.05,-47.5,0.08451112579684704,0.085
240000,550.1,0.05,-47.5,0.08960203746650368,0.1
250000,573.1,0.05,-47.5,0.09010270372228697,0.09
260000,597.2,0.05,-47.5,0.09605262042637915,0.08
270000,632.7,0.05,-47.5,0.09696550993267447,0.11
280000,655.8,0.05,-47.5,0.10027032747045159,0.12
290000,678.9,0.05,-47.5,0.10683304460560902,0.09
300000,702.3,0.05,-47.5,0.0991999074256979,0.14
310000,725.4,0.05,-47.5,0.11180839765751735,0.13
320000,748.7,0.05,-47.5,0.10962840941594913,0.14
330000,772.1,0.05,-47.5,0.11207130472082645,0.125
340000,795.2,0.05,-47.5,0.11075023961160332,0.145
350000,818.2,0.1,-45.55,0.11276773536773399,0.14
360000,841.7,0.05,-47.5,0.11236626290734858,0.135
370000,865.9,0.05,-47.5,0.1245629989261739,0.155
380000,898.2,0.05,-47.5,0.12190078929150477,0.15
390000,921.3,0.05,-47.5,0.12914036789769306,0.245
400000,944.4,0.05,-47.5,0.1291597016181797,0.23
410000,967.5,0.05,-47.5,0.1350971889210865,0.295
420000,990.6,0.1,-46.05,0.14180038497783243,0.24
430000,1013.6,0.05,-47.5,0.1509348860681057,0.29
440000,1036.9,0.05,-47.5,0.15965983700025826,0.29
450000,1060.3,0.1,-45.1,0.1578443582141772,0.38
460000,1083.6,0.05,-47.3,0.1707248983245343,0.315
470000,1112.7,0.1,-46.75,0.17502516020834447,0.42
480000,1137.5,0.2,-44.55,0.18530997773334384,0.41
490000,1160.7,0.2,-45.2,0.19678379309475422,0.565
500000,1187.0,0.3,-41.95,0.2108924987524748,0.585
510000,1214.8,0.3,-40.45,0.21238543666489423,0.595
520000,1237.9,0.3,-40.05,0.22949612967763097,0.62
530000,1261.0,0.4,-35.65,0.25744397442489864,0.665
540000,1284.6,0.45,-33.7,0.2558101494777948,0.74
550000,1308.0,0.75,-28.65,0.2683935104627162,0.82
560000,1331.7,0.6,-29.6,0.2730676445648074,0.875
570000,1368.6,0.55,-29.35,0.2932735564082861,0.895
580000,1393.4,0.8,-22.75,0.2968828122973442,0.92
590000,1416.3,0.8,-20.25,0.31080137003846464,0.94
600000,1439.7,0.95,-15.85,0.3190098057180643,0.945
610000,1469.6,0.85,-18.6,0.3030427644997835,0.965
620000,1493.2,0.9,-18.95,0.30172754222005604,0.945
630000,1516.3,0.95,-14.1,0.2928225226402283,0.96
640000,1539.1,0.85,-19.65,0.28651219290569424,0.95
650000,1562.2,1.0,-13.75,0.30285969253778455,0.945
660000,1585.2,0.95,-15.55,0.2965765447363257,0.965
670000,1608.3,1.0,-13.05,0.2850422931510955,0.99
680000,1631.4,1.0,-12.7,0.2775479710552841,0.94
690000,1654.6,0.9,-13.65,0.2762020155377686,0.95
700000,1677.8,0.9,-15.05,0.2749335083395243,0.97
710000,1700.8,0.95,-14.4,0.2826290260747075,0.975
720000,1723.8,1.0,-11.6,0.2707155117880553,0.975
730000,1746.9,0.9,-15.8,0.2727644360117614,0.96
740000,1769.9,1.0,-11.7,0.2599033345151693,0.97
750000,1793.1,1.0,-12.85,0.2512907754540443,0.98
760000,1816.1,1.0,-11.55,0.2486145737580955,0.985
770000,1839.1,1.0,-12.35,0.25871588402688506,0.97
780000,1862.3,1.0,-10.6,0.2600419259056449,0.965
790000,1885.3,1.0,-11.1,0.262894329566136,0.95
800000,1908.3,1.0,-11.15,0.26280619685910644,0.95
810000,1931.2,1.0,-12.15,0.26721687272377315,0.965
820000,1954.2,0.95,-12.65,0.2536335117995739,0.965
830000,1977.2,1.0,-12.6,0.2622158292736858,0.935
840000,2000.2,1.0,-11.35,0.2444458702582866,0.935
850000,2023.2,1.0,-11.85,0.2390506172981113,0.94
860000,2046.4,1.0,-11.6,0.2543822130635381,0.975
870000,2070.4,1.0,-11.2,0.2452687388598919,0.98
880000,2093.6,1.0,-12.6,0.2453345957554877,0.95
890000,2116.5,1.0,-10.3,0.2398010749157518,0.97
900000,2139.5,1.0,-11.8,0.2426159363478422,0.97
910000,2162.4,0.95,-12.7,0.2457987616278231,0.98
920000,2185.4,1.0,-10.6,0.2637516970291734,0.97
930000,2208.4,1.0,-10.95,0.2508904283110052,0.96
940000,2231.4,1.0,-10.95,0.24295899331234397,0.965
950000,2254.4,1.0,-10.7,0.24358044625073672,0.95
960000,2277.4,1.0,-10.85,0.2558285384751856,0.99
970000,2300.6,1.0,-11.0,0.2357843071706593,0.965
980000,2323.5,1.0,-10.75,0.24775774976536633,0.975
990000,2346.5,1.0,-11.25,0.23800324163399636,0.965
1000000,2369.5,1.0,-10.25,0.23999476927369834,0.97
