env_steps,wall_clock_s,success_rate,mean_return,critic_loss,contact_frac
10000,39.8,0.05,-47.5,0.4674594370312783,0.145
20000,88.1,0.05,-47.5,0.5226097157068551,0.1
30000,114.7,0.05,-47.5,0.7406695327326656,0.1
40000,140.2,0.05,-47.5,0.7164742158897222,0.09
50000,166.9,0.0,-49.0,0.8857465959154069,0.14
60000,191.1,0.05,-47.5,1.3364228757575154,0.085
70000,215.8,0.05,-47.5,0.6421870905295014,0.06
80000,241.1,0.05,-47.5,0.648683248071,0.105
90000,266.6,0.05,-47.5,0.5278275798805058,0.19
100000,292.2,0.05,-47.5,0.48426243932023644,0.24
110000,317.1,0.05,-47.5,0.43768100774735214,0.25
120000,341.7,0.05,-47.5,0.46209242972657083,0.345
130000,366.0,0.05,-47.5,0.49545397900119426,0.37
140000,390.8,0.05,-47.5,0.46108295349031686,0.4
150000,415.1,0.05,-47.5,0.4921125410221517,0.35
160000,440.1,0.0,-48.95,0.4569920758858323,0.4
170000,465.1,0.0,-49.4,0.46036807869523766,0.31
180000,491.1,0.05,-47.5,0.4470099449008703,0.25
190000,516.9,0.05,-47.5,0.4390528030864894,0.285
200000,542.2,0.0,-48.85,0.4392235021427274,0.32
210000,570.9,0.05,-47.5,0.4663460507243872,0.395
220000,600.6,0.1,-46.35,0.43978878402113913,0.46
230000,625.5,0.05,-47.5,0.45085133727267385,0.44
240000,651.2,0.2,-42.8,0.4462240786798298,0.52
250000,679.0,0.25,-42.35,0.46799829892590644,0.65
260000,704.5,0.1,-46.2,0.48045316199585797,0.655
270000,729.7,0.5,-36.5,0.4721395301498473,0.725
280000,758.1,0.2,-42.15,0.5036947997890413,0.795
290000,799.7,0.2,-44.25,0.5260006629087031,0.725
300000,840.1,0.65,-30.25,0.5421500885441899,0.83
310000,876.8,0.4,-38.1,0.5541723017498851,0.87
320000,920.2,0.55,-30.7,0.5673143175385892,0.875
330000,959.3,0.65,-29.2,0.5664766972750426,0.92
340000,990.2,0.8,-22.25,0.5567145793572068,0.94
350000,1025.0,0.65,-28.95,0.5811018001317978,0.985
360000,1061.6,0.7,-27.2,0.5959280575409531,0.95
370000,1112.6,0.8,-24.15,0.6009890830650926,0.96
380000,1153.1,0.75,-22.2,0.6054332961112261,0.965
390000,1187.3,0.6,-27.9,0.6069604590371251,0.975
400000,1230.8,0.9,-18.4,0.6110524626106024,0.975
410000,1255.9,0.9,-16.95,0.5977559652894735,0.975
420000,1282.8,0.9,-20.3,0.5996991203248501,0.96
430000,1308.8,0.85,-20.2,0.5964800798401236,0.985
440000,1333.3,0.8,-20.65,0.5745725816830992,0.965
450000,1358.1,0.75,-23.0,0.570870521646738,0.965
460000,1382.4,0.85,-18.7,0.5744678323581814,0.96
470000,1406.4,0.95,-14.05,0.5715462823271752,0.98
480000,1430.3,0.9,-16.6,0.574111494717002,0.955
490000,1455.5,0.85,-19.55,0.5682778940677643,0.96
500000,1484.8,0.9,-16.85,0.5601105591207742,0.99
510000,1529.5,1.0,-14.9,0.5666926710486412,0.98
520000,1554.8,0.95,-16.35,0.5458828063309192,0.98
530000,1586.0,1.0,-12.25,0.5497277358412742,0.96
540000,1627.3,0.95,-14.1,0.5399786466613412,0.96
550000,1652.6,0.95,-14.45,0.5397028862252832,0.975
560000,1677.2,1.0,-11.35,0.5349085875317454,0.965
570000,1702.1,1.0,-11.85,0.5329431218057871,0.98
580000,1726.7,0.95,-13.5,0.5218797010362148,0.98
590000,1751.4,0.9,-15.8,0.5243815595433116,0.975
600000,1775.7,1.0,-13.0,0.5263853842452169,0.965
610000,1799.8,0.9,-17.35,0.512270626103878,0.98
620000,1824.3,1.0,-12.05,0.518356385178864,0.995
630000,1848.8,1.0,-12.5,0.5196972266703844,0.985
640000,1873.3,0.95,-13.6,0.5287635408431292,0.99
650000,1898.0,0.9,-14.85,0.5229134271889925,0.985
660000,1924.1,1.0,-11.35,0.5054190393522382,0.975
670000,1948.9,0.95,-12.7,0.5007784473985434,0.98
680000,1974.7,0.9,-15.75,0.5081796349018812,0.98
690000,2006.0,1.0,-10.95,0.499246836617589,0.975
700000,2034.5,1.0,-11.7,0.4995728401720524,0.985
710000,2081.8,1.0,-12.1,0.48759162757396696,0.975
720000,2130.0,0.9,-15.7,0.482233542111516,0.955
730000,2155.8,1.0,-11.45,0.4793736255988479,0.98
740000,2183.1,0.9,-14.4,0.48669019810706377,0.96
750000,2209.2,0.95,-12.85,0.481722184792161,0.975
760000,2238.3,1.0,-11.3,0.4762187187179923,0.985
770000,2264.5,0.9,-14.7,0.47734234039336443,0.98
