env_steps,wall_clock_s,success_rate,mean_return,critic_loss,contact_frac
10000,21.2,0.05,-47.5,0.02543310300670873,0.155
20000,44.1,0.05,-47.5,0.0466527061603032,0.08
30000,66.9,0.05,-47.5,0.05247576978923753,0.105
40000,89.8,0.15,-46.25,0.06743427541824058,0.125
50000,112.7,0.1,-47.3,0.05870545158898458,0.095
60000,135.5,0.05,-47.5,0.055362049532402306,0.075
70000,158.4,0.05,-47.5,0.06118131142035127,0.12
80000,181.4,0.05,-47.5,0.0715871978405863,0.115
90000,204.5,0.05,-47.5,0.08173027779571712,0.15
100000,227.5,0.05,-47.5,0.08932069617081434,0.11
110000,250.7,0.05,-47.5,0.09622249606447295,0.12
120000,273.6,0.05,-47.5,0.10412940739626064,0.075
130000,296.5,0.0,-49.55,0.10920958401933313,0.115
140000,321.7,0.1,-46.0,0.11875038302727044,0.17
150000,359.8,0.1,-45.95,0.11747154980394989,0.13
160000,390.7,0.2,-41.9,0.1177937164440751,0.19
170000,413.6,0.15,-43.35,0.12536073036845774,0.21
180000,436.2,0.1,-45.4,0.12701786449477076,0.12
190000,459.7,0.15,-43.6,0.12190371552221477,0.125
200000,482.4,0.1,-44.0,0.12336668844074011,0.195
210000,505.0,0.05,-47.55,0.1348116974119097,0.21
220000,527.5,0.1,-45.2,0.14642806014306844,0.18
230000,550.0,0.1,-44.9,0.14897503014225513,0.225
240000,574.6,0.25,-40.35,0.15749217024538667,0.195
250000,598.3,0.2,-41.95,0.16038364694882185,0.31
260000,630.3,0.1,-45.35,0.17118099890183658,0.275
270000,652.8,0.15,-44.3,0.18755309450216592,0.355
280000,675.3,0.25,-40.4,0.19906201655361802,0.325
290000,697.9,0.15,-43.35,0.21142541745230556,0.345
300000,720.3,0.25,-42.5,0.22341031589005142,0.49
310000,743.0,0.2,-41.7,0.23735926084034145,0.525
320000,766.6,0.4,-37.55,0.2547401764888316,0.665
330000,790.6,0.35,-38.1,0.2899998865015805,0.72
340000,813.4,0.45,-32.25,0.30747160298600795,0.795
350000,835.9,0.6,-30.8,0.3159482324659824,0.81
360000,860.1,0.7,-26.4,0.3416769785773009,0.88
370000,884.0,0.7,-25.25,0.36240847726911307,0.91
380000,907.7,0.75,-23.85,0.3751603874914348,0.96
390000,939.6,0.95,-17.5,0.3775072494737804,0.945
400000,962.2,0.8,-20.95,0.3682944168642163,0.94
410000,984.7,0.9,-16.8,0.36144625293798743,0.935
420000,1015.8,1.0,-14.7,0.3550071880891919,0.97
430000,1038.9,0.9,-16.9,0.3437451532743871,0.97
440000,1061.5,0.95,-13.35,0.3226284001395106,0.975
450000,1085.4,0.95,-14.4,0.319562731872499,0.98
460000,1117.6,0.9,-16.9,0.3032661303780973,0.955
470000,1148.5,1.0,-12.85,0.2976281991709024,0.96
480000,1171.3,1.0,-11.85,0.2953104100029916,0.945
490000,1193.9,0.9,-15.1,0.2889298320982605,0.96
500000,1216.5,1.0,-11.1,0.27430049381703137,0.975
510000,1241.1,1.0,-10.6,0.27104841492809356,0.96
520000,1273.5,1.0,-11.7,0.2681984486415982,0.955
530000,1296.6,1.0,-11.3,0.27142295883633194,0.96
540000,1318.9,1.0,-11.5,0.2641811397410929,0.985
550000,1341.4,1.0,-12.15,0.26302320990338923,0.96
560000,1363.9,1.0,-11.8,0.26291661737784744,0.98
570000,1387.1,1.0,-10.3,0.26220229940712453,0.97
580000,1409.7,0.95,-13.25,0.25731344181895255,0.96
590000,1433.1,1.0,-11.55,0.25263219138383863,0.96
600000,1455.9,1.0,-10.65,0.26576286768764257,0.975
610000,1479.7,0.95,-12.75,0.2595669019781053,0.96
620000,1502.8,1.0,-12.5,0.2629410032648593,0.96
630000,1525.8,1.0,-11.1,0.2604111545592546,0.945
640000,1548.8,1.0,-11.95,0.2591784590691328,0.955
650000,1572.0,1.0,-10.95,0.2641526894662529,0.945
660000,1594.2,0.95,-12.0,0.25542981620654465,0.96
670000,1617.5,1.0,-10.6,0.25300958096310494,0.985
680000,1640.5,1.0,-11.55,0.25443920571431516,0.95
690000,1663.5,1.0,-10.35,0.2488854367982596,0.94
700000,1686.6,1.0,-10.1,0.25648003915660084,0.975
710000,1710.2,0.95,-12.0,0.2485177724085748,0.975
720000,1733.2,1.0,-10.1,0.25510008465498685,0.98
730000,1757.0,1.0,-10.1,0.255305954631418,0.97
740000,1779.0,1.0,-10.25,0.2470681978467852,0.97
750000,1802.0,1.0,-10.95,0.2494626268785447,0.97
760000,1824.3,1.0,-9.85,0.24950548529177904,0.975
770000,1846.5,1.0,-10.5,0.24872241663858294,0.975
780000,1868.6,1.0,-10.3,0.25190508174970744,0.96
790000,1891.6,1.0,-9.95,0.252855809880048,0.96
800000,1914.6,1.0,-10.55,0.24644517253898085,0.955
810000,1937.5,1.0,-11.65,0.2546840499907732,0.955
820000,1960.5,1.0,-11.05,0.2521941243842244,0.965
830000,1985.1,1.0,-10.6,0.250757057152316,0.925
840000,2015.2,1.0,-9.7,0.24432323310524226,0.93
850000,2046.7,1.0,-9.95,0.2525737256638706,0.935
860000,2069.6,1.0,-10.3,0.24757336750924588,0.98
870000,2092.0,1.0,-10.65,0.2513345425993204,0.98
880000,2114.6,1.0,-9.9,0.24354179511107504,0.96
890000,2137.6,1.0,-9.85,0.24468690642230212,0.975
900000,2160.7,1.0,-9.85,0.24493060337603093,0.975
910000,2183.9,1.0,-10.0,0.24687897100783884,0.98
920000,2207.5,1.0,-10.55,0.24289899434037507,0.965
930000,2239.5,1.0,-9.85,0.24352200285457073,0.96
940000,2263.0,1.0,-10.3,0.24075643675997854,0.96
950000,2286.1,1.0,-9.95,0.24612024191915988,0.95
960000,2309.1,1.0,-10.1,0.239391930392012,0.98
970000,2332.4,1.0,-9.9,0.2422518352024257,0.96
980000,2363.3,1.0,-10.1,0.24413434190005065,0.965
990000,2385.8,1.0,-9.95,0.24436386030316354,0.965
1000000,2408.2,1.0,-10.0,0.24312338209711015,0.96
