env_steps,wall_clock_s,success_rate,mean_return,critic_loss
10000,36.0,0.05,-47.5,0.23751221597194672
20000,79.5,0.05,-47.5,0.23092439770698547
30000,121.4,0.05,-47.5,0.16170665621757507
40000,164.7,0.05,-47.5,0.07696235924959183
50000,209.9,0.05,-47.5,0.19475865364074707
60000,258.7,0.05,-47.5,0.33413514494895935
70000,316.8,0.05,-47.5,0.29654383659362793
80000,380.7,0.05,-47.5,0.14584724605083466
90000,449.2,0.05,-47.5,0.17339342832565308
100000,518.6,0.05,-47.5,0.18274348974227905
110000,590.4,0.05,-47.5,0.30262017250061035
120000,661.4,0.05,-47.5,0.22169698774814606
130000,728.3,0.05,-47.5,0.3711864948272705
140000,801.3,0.05,-47.5,0.15159597992897034
150000,878.3,0.05,-47.5,0.24823474884033203
160000,955.9,0.05,-47.5,0.06335870921611786
170000,1041.8,0.05,-47.5,0.2771637737751007
180000,1124.4,0.05,-47.5,0.23912453651428223
190000,1202.6,0.05,-47.5,0.30921506881713867
200000,1275.1,0.05,-47.5,0.43568092584609985
210000,1356.1,0.05,-47.5,0.16156044602394104
220000,1448.3,0.05,-47.5,0.461232990026474
230000,1539.0,0.05,-47.5,0.244469553232193
240000,1630.5,0.05,-47.5,0.5448658466339111
250000,1713.0,0.05,-47.5,0.5816465616226196
260000,1794.8,0.05,-47.5,0.14130452275276184
270000,1873.6,0.05,-47.5,0.5473721027374268
280000,1951.5,0.05,-47.5,0.18650385737419128
290000,2036.8,0.05,-47.5,1.1165343523025513
300000,2117.5,0.05,-47.5,0.176491379737854
310000,2202.3,0.05,-47.5,0.10141797363758087
320000,2283.6,0.05,-47.5,0.7030137777328491
330000,2356.0,0.05,-47.5,0.11326172947883606
340000,2427.9,0.05,-47.5,0.13288885354995728
350000,2504.9,0.05,-47.5,0.1506480574607849
360000,2576.1,0.05,-47.5,1.2136790752410889
370000,2647.9,0.05,-47.5,0.08333184570074081
380000,2725.8,0.05,-47.5,0.06932789087295532
390000,2803.4,0.05,-47.5,0.1524275839328766
400000,2875.4,0.05,-47.5,0.8831222057342529
410000,2941.9,0.05,-47.5,0.1326325684785843
420000,3008.6,0.05,-47.5,0.2278514802455902
430000,3081.9,0.05,-47.5,0.09071105718612671
440000,3155.4,0.05,-47.5,0.35103222727775574
450000,3232.4,0.05,-47.5,0.06957411766052246
460000,3314.6,0.05,-47.5,0.07512819766998291
470000,3390.2,0.05,-47.5,0.09302611649036407
480000,3478.5,0.05,-47.5,0.19202682375907898
490000,3561.9,0.05,-47.5,0.13396607339382172
500000,3635.2,0.05,-47.5,0.16943666338920593
510000,3711.4,0.05,-47.5,0.1378851681947708
520000,3797.3,0.05,-47.5,0.15900751948356628
530000,3884.1,0.05,-47.5,1.7036538124084473
540000,3964.0,0.05,-47.5,0.09215566515922546
550000,4043.4,0.05,-47.5,6.47584867477417
560000,4119.3,0.05,-47.5,0.21449416875839233
570000,4200.1,0.05,-47.5,0.06272868812084198
580000,4288.7,0.05,-47.5,0.10589835047721863
590000,4362.7,0.05,-47.5,0.4998873770236969
600000,4440.5,0.05,-47.5,0.12717819213867188
610000,4509.9,0.05,-47.5,0.11672356724739075
620000,4581.4,0.05,-47.5,0.13606294989585876
630000,4655.2,0.05,-47.5,0.14353859424591064
640000,4724.4,0.05,-47.5,0.13604098558425903
650000,4794.6,0.05,-47.5,0.1349707543849945
660000,4876.5,0.05,-47.5,0.06818439066410065
670000,4943.3,0.05,-47.5,0.0830727368593216
680000,5007.9,0.05,-47.5,0.0852278620004654
690000,5072.5,0.05,-47.5,0.07412569224834442
700000,5140.0,0.05,-47.5,0.1888146698474884
710000,5208.4,0.05,-47.5,0.07254885137081146
720000,5261.7,0.05,-47.5,0.16001296043395996
730000,5313.1,0.05,-47.5,0.1700057089328766
740000,5366.8,0.05,-47.5,0.19460555911064148
750000,5414.2,0.05,-47.5,0.10448649525642395
760000,5450.7,0.05,-47.5,0.3416615128517151
770000,5491.0,0.05,-47.5,0.1352469027042389
780000,5530.8,0.05,-47.5,0.14712929725646973
790000,5567.9,0.05,-47.5,2.3281614780426025
800000,5606.9,0.05,-47.5,0.07115515321493149
810000,5643.2,0.05,-47.5,0.09687643498182297
820000,5679.4,0.05,-47.5,0.07434114813804626
830000,5715.8,0.05,-47.5,0.08554106950759888
840000,5752.4,0.05,-47.5,0.2071998119354248
850000,5789.4,0.05,-47.5,0.37309741973876953
860000,5826.5,0.05,-47.5,0.7765968441963196
870000,5862.8,0.05,-47.5,0.05190155282616615
880000,5900.1,0.05,-47.5,0.09259392321109772
890000,5939.0,0.05,-47.5,0.06444987654685974
900000,5975.8,0.05,-47.5,0.05663654953241348
910000,6013.2,0.05,-47.5,0.05077134445309639
920000,6050.3,0.05,-47.5,0.15972186625003815
930000,6088.8,0.05,-47.5,0.06444918364286423
940000,6128.0,0.05,-47.5,0.020118162035942078
950000,6170.4,0.05,-47.5,0.1584632694721222
960000,6209.0,0.05,-47.5,0.22182892262935638
970000,6245.1,0.05,-47.5,0.18357005715370178
980000,6281.5,0.05,-47.5,0.05767345055937767
990000,6318.7,0.05,-47.5,0.05884605646133423
1000000,6355.8,0.05,-47.5,0.05304347723722458
1000000,6356.8,0.05,-47.5,0.1319177746772766
