env_steps,wall_clock_s,success_rate,mean_return,critic_loss
10000,37.8,0.0,-49.7,0.08037904193038276
20000,80.7,0.05,-47.5,0.18917378358840942
30000,124.2,0.05,-47.5,0.18529689652621745
40000,170.1,0.05,-47.5,0.1779836018577218
50000,216.7,0.05,-47.5,0.23853956243842842
60000,268.2,0.05,-47.5,0.2754988111458719
70000,316.7,0.05,-47.5,0.3208931887961924
80000,371.0,0.05,-47.5,0.30069329920187593
90000,422.5,0.05,-47.5,0.2740802820287645
100000,474.2,0.05,-47.5,0.2469017062164843
110000,525.4,0.05,-47.5,0.32294513573870065
120000,576.7,0.1,-47.05,0.36832319987490775
130000,635.1,0.0,-49.35,0.35948204745575785
140000,692.1,0.05,-47.5,0.3562397650137544
150000,753.8,0.05,-47.5,0.35568033868893983
160000,814.3,0.05,-47.5,0.37579852921888235
170000,876.6,0.05,-47.5,0.3952712137527764
180000,932.3,0.05,-47.5,0.41477508304826916
190000,987.9,0.05,-47.5,0.42901020498648285
200000,1037.5,0.05,-47.5,0.4115424349632114
210000,1090.9,0.05,-47.5,0.4133554144382477
220000,1154.8,0.05,-47.5,0.4060992203671485
230000,1219.6,0.05,-47.5,0.4179134579073638
240000,1283.6,0.05,-47.5,0.41951784144602716
250000,1343.4,0.05,-47.5,0.4308304860506207
260000,1407.7,0.05,-47.5,0.4719977031674236
270000,1467.4,0.05,-47.5,0.4830442943289876
280000,1525.0,0.05,-47.5,0.43575249122343956
290000,1578.5,0.05,-47.5,0.42325530039668086
300000,1636.0,0.05,-47.5,0.4076284319635481
310000,1686.3,0.05,-47.5,0.403319323829934
320000,1743.9,0.05,-47.5,0.3948864468652755
330000,1801.6,0.05,-47.5,0.3862635020148009
340000,1859.0,0.0,-49.65,0.3949285979833454
350000,1915.4,0.05,-47.5,0.376309800452739
360000,1976.6,0.05,-47.5,0.37951063007414343
370000,2034.8,0.05,-47.5,0.3879998961415142
380000,2087.2,0.05,-47.5,0.3883333120981231
390000,2138.8,0.05,-47.5,0.39233810653258117
400000,2187.1,0.05,-47.5,0.39642540618553757
410000,2240.3,0.05,-47.5,0.41065454872362317
420000,2287.1,0.05,-47.5,0.4277482729431242
430000,2333.2,0.05,-47.5,0.42063038195557895
440000,2381.2,0.05,-47.5,0.41840134774670007
450000,2429.5,0.05,-47.5,0.41830222761444746
460000,2483.4,0.05,-47.5,0.39110923509933054
470000,2534.0,0.05,-47.5,0.40282976069170984
480000,2589.4,0.05,-47.5,0.4286389645203948
490000,2638.7,0.05,-47.5,0.42487166506052015
500000,2684.8,0.05,-47.5,0.4378171625934541
510000,2731.9,0.05,-47.5,0.4238115758538246
520000,2777.2,0.0,-49.75,0.41613001467119903
530000,2825.0,0.05,-47.5,0.41369803858902304
540000,2878.9,0.05,-47.5,0.42727485952991995
550000,2928.7,0.05,-47.5,0.4243246744805947
560000,2983.2,0.05,-47.5,0.40850501975696535
570000,3033.1,0.05,-47.5,0.4243772410862148
580000,3093.8,0.05,-47.5,0.40124178014695644
590000,3144.0,0.05,-47.5,0.4127344289490953
600000,3201.2,0.05,-47.5,0.4106757089935243
610000,3256.9,0.05,-47.5,0.3951616026584059
620000,3311.8,0.05,-47.5,0.4195595847772434
630000,3365.3,0.05,-47.5,0.3970660043774173
640000,3415.1,0.05,-47.5,0.3958630448579788
650000,3467.4,0.05,-47.5,0.4158495762037113
660000,3530.8,0.05,-47.5,0.4095634808357805
670000,3587.6,0.05,-47.5,0.43734198723565787
680000,3645.5,0.05,-47.5,0.3962817624948919
690000,3701.2,0.05,-47.5,0.4163907998435199
700000,3753.0,0.0,-49.35,0.4281074325546622
710000,3808.2,0.05,-47.5,0.42507147607207296
720000,3859.1,0.05,-47.5,0.38859754248019307
730000,3911.7,0.05,-47.5,0.4079096802677959
740000,3964.2,0.05,-47.5,0.4426792460128665
750000,4023.7,0.05,-47.5,0.44070497816149146
760000,4076.9,0.05,-47.5,0.3918685356801376
770000,4125.9,0.05,-47.5,0.4141226160287857
780000,4179.3,0.05,-47.5,0.4046789415508509
790000,4227.5,0.05,-47.5,0.406609421745874
800000,4272.9,0.05,-47.5,0.39636397660356015
810000,4318.1,0.05,-47.5,0.38936294818427414
820000,4368.7,0.05,-47.5,0.38833815826885404
830000,4418.8,0.05,-47.5,0.36975945847611874
840000,4469.8,0.05,-47.5,0.389729683708027
850000,4516.5,0.05,-47.5,0.4114172118291259
860000,4563.1,0.05,-47.5,0.38985280417874457
870000,4618.3,0.05,-47.5,0.3796385873876512
880000,4667.3,0.05,-47.5,0.39621320234499874
890000,4713.9,0.05,-47.5,0.3732473778521642
900000,4756.0,0.05,-47.5,0.3907033656714484
910000,4797.6,0.05,-47.5,0.39702359760142863
920000,4840.7,0.05,-47.5,0.3855167660042644
930000,4885.1,0.05,-47.5,0.385821146918647
940000,4931.6,0.05,-47.5,0.3687217877553776
950000,4973.9,0.05,-47.5,0.3660538059515879
960000,5008.9,0.05,-47.5,0.3890227784501389
970000,5047.1,0.05,-47.5,0.38459910798938945
980000,5083.0,0.05,-47.5,0.3629902531122789
990000,5121.0,0.05,-47.5,0.3699940445976332
1000000,5159.5,0.05,-47.5,0.3731553504956886
