env_steps,wall_clock_s,success_rate,mean_return,critic_loss
10000,23.1,0.05,-47.5,0.08876830089775567
20000,47.8,0.05,-47.5,0.08030571984667331
30000,72.0,0.05,-47.5,0.07460624169502407
40000,96.6,0.05,-47.5,0.07472847499856726
50000,121.6,0.05,-47.5,0.07709697328992188
60000,146.0,0.05,-47.5,0.07642764501338825
70000,169.9,0.05,-47.5,0.07578723827423528
80000,193.9,0.05,-47.5,0.08394196796882898
90000,217.8,0.05,-47.5,0.08550924509353935
100000,242.0,0.05,-47.5,0.0856939572303556
110000,265.8,0.05,-47.5,0.0893666372413747
120000,290.0,0.05,-47.5,0.09962270077178255
130000,314.5,0.05,-47.5,0.09757137394919992
140000,339.1,0.05,-47.5,0.09589498040853069
150000,363.5,0.05,-47.5,0.11293043155092745
160000,388.6,0.05,-47.5,0.11342579970210791
170000,413.9,0.1,-46.05,0.11848408747790382
180000,438.6,0.1,-45.45,0.12609999277647585
190000,463.3,0.05,-47.5,0.12148672078279778
200000,489.0,0.15,-43.45,0.12157410197257995
210000,513.5,0.05,-47.45,0.12746363948434591
220000,538.8,0.05,-47.5,0.13404347174670547
230000,564.4,0.05,-47.5,0.13162096412684768
240000,590.3,0.05,-47.5,0.14566133901998402
250000,618.4,0.05,-47.5,0.15330513569172471
260000,645.9,0.1,-45.5,0.1481008434602991
270000,672.6,0.1,-45.75,0.16159108491800725
280000,699.3,0.05,-47.5,0.16334627156089992
290000,725.6,0.1,-45.6,0.17252390667833387
300000,751.8,0.05,-47.2,0.1789402750948444
