env_steps,wall_clock_s,success_rate,mean_return,critic_loss,contact_frac
10000,42.4,0.05,-47.5,0.07078820561928396,0.06
20000,67.7,0.05,-47.5,0.07466958605926484,0.11
30000,92.5,0.05,-47.5,0.06930679864725098,0.06
40000,119.0,0.05,-47.5,0.07330817117728293,0.08
50000,143.9,0.05,-47.5,0.0922804048396647,0.11
60000,168.0,0.05,-47.5,0.09131437503397465,0.045
70000,192.0,0.05,-47.5,0.0904013515714556,0.075
80000,216.1,0.05,-47.5,0.09724710151813924,0.135
90000,240.1,0.05,-47.5,0.09000587693024427,0.04
100000,264.4,0.05,-47.5,0.0867763764009811,0.075
110000,288.3,0.05,-47.5,0.08590363541776315,0.055
120000,312.6,0.05,-47.5,0.08561656659059226,0.075
130000,337.0,0.05,-47.5,0.09285281161004677,0.115
140000,363.8,0.05,-47.5,0.10277008452638983,0.06
150000,387.9,0.05,-47.5,0.09383920200876891,0.09
160000,412.5,0.05,-47.5,0.10173330185171217,0.115
170000,439.8,0.05,-47.5,0.11359205228341743,0.155
180000,464.5,0.05,-47.5,0.12639011300355196,0.165
190000,488.7,0.05,-47.5,0.14580517845060675,0.205
200000,517.6,0.1,-47.25,0.16387035996215418,0.27
210000,543.6,0.05,-47.5,0.1817081511206925,0.335
220000,592.7,0.1,-45.6,0.20940009793788195,0.275
230000,633.6,0.05,-47.4,0.2236402545729652,0.3
240000,680.3,0.1,-45.4,0.23501724203415214,0.365
250000,719.7,0.05,-47.5,0.25372940812706946,0.43
260000,753.9,0.1,-45.35,0.2912139084801078,0.49
270000,782.8,0.2,-42.8,0.3128889703270048,0.435
280000,853.1,0.1,-45.7,0.3157439730193466,0.435
290000,916.9,0.15,-44.35,0.3220773072909564,0.49
300000,943.1,0.15,-45.1,0.3555712084863335,0.545
310000,992.2,0.25,-41.75,0.37406209312826394,0.5
320000,1018.6,0.45,-37.05,0.3856339541144669,0.565
330000,1045.7,0.3,-40.25,0.4086963546350598,0.535
340000,1073.0,0.35,-40.1,0.4131205879811197,0.575
350000,1123.1,0.3,-39.45,0.42857493553236126,0.51
360000,1150.9,0.35,-37.3,0.4364854142948985,0.525
370000,1176.4,0.4,-36.0,0.43739616230651734,0.54
380000,1225.6,0.3,-40.6,0.44519145200327037,0.535
390000,1252.0,0.35,-39.55,0.45050506537407636,0.53
400000,1278.1,0.4,-35.9,0.43686925591155884,0.535
410000,1303.4,0.3,-41.4,0.44688266851678493,0.595
420000,1328.9,0.35,-38.85,0.4630889091588557,0.44
430000,1353.6,0.45,-33.95,0.44447263631373646,0.55
440000,1378.2,0.4,-36.1,0.4492047634549439,0.465
450000,1402.6,0.35,-36.4,0.4407610893905163,0.55
460000,1427.2,0.35,-37.25,0.44754837439879774,0.51
470000,1451.4,0.45,-34.75,0.44588979181945326,0.55
480000,1475.7,0.55,-32.0,0.4428776649571955,0.54
490000,1499.9,0.55,-30.7,0.4311600240893662,0.565
500000,1524.3,0.55,-31.2,0.4361080340228975,0.525
510000,1548.5,0.55,-31.45,0.4259384641394019,0.605
520000,1572.7,0.55,-32.5,0.42982217354252933,0.525
530000,1597.1,0.55,-32.4,0.4355440311565995,0.54
540000,1621.4,0.5,-35.1,0.42920641210973265,0.515
550000,1645.6,0.55,-32.9,0.4260400560095906,0.44
560000,1670.1,0.55,-32.75,0.42773107256293297,0.58
570000,1694.6,0.5,-31.15,0.42862833034843206,0.495
580000,1719.0,0.55,-31.65,0.429421056124568,0.535
590000,1744.3,0.5,-32.25,0.42416283751800654,0.575
600000,1769.0,0.55,-29.7,0.41673140000626446,0.63
610000,1793.6,0.5,-31.0,0.4194575111180544,0.555
620000,1818.5,0.55,-30.4,0.416073686286062,0.545
630000,1844.2,0.55,-28.85,0.4118069780513644,0.595
640000,1868.8,0.55,-30.1,0.40260908236354587,0.535
650000,1893.4,0.55,-29.2,0.4092799923673272,0.62
660000,1918.3,0.55,-28.05,0.39892486503869296,0.535
670000,1949.7,0.55,-28.0,0.4174619058474898,0.585
680000,1981.1,0.55,-27.6,0.4119643288984895,0.665
690000,2017.1,0.55,-27.75,0.41632090332210064,0.615
700000,2049.1,0.55,-28.15,0.41430845458507537,0.615
710000,2075.7,0.55,-27.8,0.40072930848896504,0.61
720000,2101.0,0.55,-27.9,0.4021312890000641,0.61
730000,2126.7,0.55,-28.0,0.40940484105348585,0.665
740000,2151.7,0.55,-28.05,0.3938034401908517,0.61
750000,2177.0,0.55,-27.9,0.4014881724134088,0.615
760000,2202.4,0.55,-28.0,0.4002120249785483,0.6
770000,2228.2,0.55,-27.8,0.4036560714125633,0.62
780000,2259.2,0.55,-27.7,0.3901470735438168,0.615
790000,2286.6,0.55,-27.9,0.383068897254765,0.65
800000,2312.1,0.55,-27.65,0.38516570467054845,0.615
810000,2337.5,0.55,-27.75,0.3784995865277946,0.585
820000,2363.8,0.55,-27.75,0.37340929402187467,0.645
830000,2391.4,0.55,-27.55,0.38276879959478977,0.64
840000,2419.7,0.55,-27.65,0.38294809347093106,0.66
850000,2467.9,0.55,-27.65,0.3680543698705733,0.6
860000,2493.5,0.55,-27.7,0.3709514828078449,0.635
870000,2539.0,0.55,-28.05,0.36325476345196367,0.59
880000,2564.9,0.55,-27.55,0.3572762513436377,0.615
890000,2590.1,0.6,-27.2,0.3567580574862659,0.655
900000,2615.7,0.55,-27.65,0.36521137867197395,0.635
910000,2640.8,0.65,-26.6,0.35847518749833107,0.65
920000,2666.4,0.55,-27.45,0.352214150775969,0.65
930000,2693.4,0.55,-26.7,0.3612157376781106,0.66
940000,2718.5,0.55,-27.45,0.3547950773075223,0.59
950000,2745.3,0.6,-26.85,0.35344090378955006,0.61
960000,2794.2,0.6,-25.45,0.35234778097346425,0.665
970000,2819.8,0.6,-25.65,0.34840266418531535,0.675
980000,2845.2,0.6,-25.5,0.3624832176499069,0.675
990000,2870.4,0.55,-26.85,0.35201494042128323,0.645
1000000,2896.4,0.6,-25.9,0.3525297863572836,0.69
