env_steps,wall_clock_s,success_rate,mean_return,critic_loss
10000,26.7,0.05,-47.5,0.13027521027674002
20000,55.6,0.05,-47.5,0.21309583930298687
30000,85.1,0.05,-47.5,0.37487013486325743
40000,113.0,0.05,-47.5,0.31089844502266495
50000,139.6,0.05,-47.5,0.3067391934726387
60000,167.1,0.05,-47.5,0.3600013865755871
70000,196.2,0.05,-47.5,0.5251551378702745
80000,225.7,0.05,-47.5,0.3896258453676477
90000,255.0,0.05,-47.5,0.3342181327549741
100000,285.0,0.05,-47.5,0.37134694098345933
110000,314.7,0.05,-47.5,0.3183394438235089
120000,344.4,0.05,-47.5,0.5787706636121497
130000,374.5,0.05,-47.5,0.3801307993970811
140000,404.3,0.05,-47.5,0.2598535386072472
150000,434.0,0.05,-47.5,0.5362601702148094
160000,463.3,0.05,-47.5,0.3305868363812566
170000,492.8,0.05,-47.5,0.28124276675861326
180000,522.5,0.05,-47.5,0.3824935544894077
