env_steps,wall_clock_s,success_rate,mean_return,critic_loss
10000,36.4,0.05,-47.5,0.26968324184417725
20000,76.9,0.05,-47.5,0.3554794192314148
30000,117.2,0.05,-47.5,0.35805678367614746
40000,157.6,0.05,-47.5,0.13721895217895508
50000,198.0,0.05,-47.5,0.12663255631923676
60000,238.7,0.05,-47.5,0.11868496984243393
70000,279.8,0.05,-47.5,0.17003774642944336
80000,321.4,0.05,-47.5,0.3831462860107422
90000,362.9,0.05,-47.5,0.39727783203125
100000,404.3,0.05,-47.5,0.2198602557182312
110000,444.1,0.05,-47.5,0.2024480104446411
120000,484.5,0.05,-47.5,0.4586758613586426
130000,525.4,0.05,-47.5,0.7106533646583557
140000,566.0,0.05,-47.5,0.08126921951770782
150000,606.9,0.05,-47.5,0.5041611194610596
160000,647.9,0.05,-47.5,0.21456047892570496
170000,688.6,0.0,-48.95,0.10863503813743591
180000,729.6,0.05,-47.5,0.13851290941238403
190000,770.3,0.05,-47.5,0.08042502403259277
200000,811.1,0.05,-47.5,0.21223045885562897
210000,851.6,0.05,-47.5,0.09504630416631699
220000,892.7,0.05,-47.5,0.10173789411783218
230000,934.1,0.05,-47.5,0.17337578535079956
240000,975.3,0.05,-47.5,0.1592293083667755
250000,1016.7,0.05,-47.5,0.20849820971488953
260000,1057.8,0.0,-49.65,0.138534277677536
270000,1099.0,0.05,-47.5,0.18025541305541992
280000,1140.4,0.05,-47.5,0.24628524482250214
290000,1181.9,0.05,-47.5,0.06475318968296051
300000,1223.5,0.0,-49.75,0.08483484387397766
300000,1224.2,0.0,-49.75,0.14333641529083252
