env_steps,wall_clock_s,success_rate,mean_return,critic_loss
10000,36.0,0.05,-47.5,0.23751221597194672
20000,79.5,0.05,-47.5,0.23092439770698547
30000,121.4,0.05,-47.5,0.16170665621757507
40000,164.7,0.05,-47.5,0.07696235924959183
50000,209.9,0.05,-47.5,0.19475865364074707
60000,258.7,0.05,-47.5,0.33413514494895935
70000,316.8,0.05,-47.5,0.29654383659362793
80000,380.7,0.05,-47.5,0.14584724605083466
90000,449.2,0.05,-47.5,0.17339342832565308
100000,518.6,0.05,-47.5,0.18274348974227905
110000,590.4,0.05,-47.5,0.30262017250061035
120000,661.4,0.05,-47.5,0.22169698774814606
130000,728.3,0.05,-47.5,0.3711864948272705
140000,801.3,0.05,-47.5,0.15159597992897034
150000,878.3,0.05,-47.5,0.24823474884033203
160000,955.9,0.05,-47.5,0.06335870921611786
170000,1041.8,0.05,-47.5,0.2771637737751007
180000,1124.4,0.05,-47.5,0.23912453651428223
190000,1202.6,0.05,-47.5,0.30921506881713867
