env_steps,wall_clock_s,success_rate,mean_return,critic_loss
10000,184.6,0.05,-47.5,1.1130070686340332
20000,393.4,0.05,-47.5,0.6333670616149902
30000,602.6,0.0,-49.85,0.26625293493270874
40000,813.3,0.05,-47.5,1.1603039503097534
50000,1025.6,0.05,-47.5,0.735257625579834
60000,1243.0,0.05,-47.5,0.23183518648147583
70000,1471.5,0.05,-47.5,0.09696649014949799
80000,1699.8,0.05,-47.5,0.09780223667621613
90000,1932.2,0.05,-47.5,0.27027249336242676
100000,2165.5,0.05,-47.5,0.17020656168460846
110000,2402.2,0.05,-47.5,0.15241903066635132
120000,2641.3,0.0,-49.9,0.19654446840286255
130000,2882.1,0.05,-47.5,0.10924293100833893
140000,3122.9,0.0,-49.55,0.1384589821100235
150000,3364.4,0.05,-47.5,0.4118437170982361
160000,3606.4,0.0,-49.65,0.130172461271286
170000,3849.0,0.05,-47.5,0.8225307464599609
180000,4091.8,0.05,-47.5,0.16826601326465607
190000,4334.3,0.05,-47.5,0.18189139664173126
200000,4577.6,0.05,-47.5,0.21775606274604797
210000,4820.0,0.05,-47.5,0.19335326552391052
220000,5063.2,0.05,-47.5,0.21398931741714478
230000,5306.8,0.05,-47.5,0.12161187827587128
240000,5551.5,0.05,-47.5,0.20704232156276703
250000,5797.2,0.05,-47.5,0.18155092000961304
260000,6050.0,0.05,-47.5,0.14030146598815918
270000,6296.0,0.05,-47.5,0.286762535572052
280000,6542.7,0.05,-47.5,0.29833686351776123
290000,6788.6,0.1,-45.4,0.16532960534095764
300000,7033.8,0.1,-45.45,0.3453370928764343
310000,7279.4,0.1,-45.5,0.3158890902996063
320000,7531.5,0.2,-42.05,0.4779960513114929
330000,7779.6,0.1,-46.25,0.20265915989875793
340000,8028.8,0.35,-36.45,0.17793306708335876
350000,8276.7,0.15,-43.15,0.14584046602249146
360000,8524.8,0.2,-42.1,0.25464436411857605
370000,8773.0,0.25,-40.2,0.17488113045692444
380000,9022.0,0.2,-42.7,0.31731468439102173
390000,9270.7,0.2,-41.4,0.6082152128219604
400000,9519.0,0.15,-42.95,0.11230349540710449
410000,9767.7,0.3,-38.05,0.15031930804252625
420000,10016.2,0.45,-35.05,0.38409221172332764
430000,10264.5,0.15,-43.8,0.5234848856925964
440000,10512.7,0.55,-33.7,0.2872345447540283
450000,10761.2,0.75,-27.4,0.35251766443252563
460000,11010.4,0.7,-26.85,0.251048743724823
470000,11259.7,0.8,-23.1,0.42207515239715576
480000,11509.8,0.75,-23.0,0.26967546343803406
490000,11760.0,0.9,-21.45,0.5073994994163513
500000,12009.6,0.75,-20.9,0.2874496877193451
510000,12260.2,0.7,-25.55,0.3011860251426697
520000,12510.7,0.85,-23.75,0.355097234249115
530000,12774.9,0.75,-23.15,0.22850292921066284
540000,13035.1,0.95,-15.1,0.25147736072540283
550000,13290.0,0.9,-15.1,0.120192751288414
560000,13545.1,0.95,-14.2,0.4533294439315796
570000,13798.3,0.95,-15.85,0.2817925214767456
580000,14051.2,0.9,-16.4,0.20609110593795776
590000,14305.1,0.85,-14.6,0.3461246192455292
600000,14559.8,0.85,-18.7,0.15361735224723816
610000,14812.0,0.9,-15.7,0.1420193314552307
620000,15064.0,0.95,-14.8,0.259107381105423
630000,15316.6,0.9,-16.5,0.1695851981639862
640000,15569.3,0.75,-21.15,0.22743350267410278
650000,15821.8,0.95,-15.25,0.23010137677192688
660000,16075.1,0.9,-15.95,0.3788549304008484
670000,16328.4,0.85,-17.9,0.1562836468219757
680000,16581.6,1.0,-12.4,0.26190418004989624
690000,16835.8,0.9,-14.75,0.16477498412132263
700000,17089.6,1.0,-13.0,0.23492304980754852
710000,17343.4,1.0,-11.65,0.18713730573654175
720000,17598.0,0.95,-13.25,0.3498624265193939
730000,17852.6,1.0,-10.65,0.261601060628891
740000,18107.1,1.0,-13.45,0.38734447956085205
750000,18362.4,0.95,-16.1,0.1771778166294098
760000,18616.4,1.0,-11.65,0.08298064768314362
770000,18870.0,0.95,-10.4,0.19496561586856842
780000,19123.7,0.85,-17.45,0.25913435220718384
790000,19377.5,0.95,-13.3,0.18169212341308594
800000,19636.7,0.95,-12.85,0.4281841516494751
810000,19890.6,1.0,-12.3,0.3048112988471985
820000,20144.8,0.95,-13.3,0.25095486640930176
830000,20399.5,0.95,-11.5,0.2927566468715668
840000,20660.4,1.0,-10.9,0.12143614888191223
850000,20915.5,0.95,-15.25,0.18861237168312073
860000,21172.4,0.95,-11.75,0.20791488885879517
870000,21428.7,1.0,-11.6,0.226091206073761
880000,21685.0,0.95,-13.1,0.374580442905426
890000,21941.1,0.95,-13.0,0.2612508535385132
900000,22197.6,0.95,-13.6,0.19532760977745056
910000,22453.7,1.0,-10.35,0.14693093299865723
920000,22710.3,0.9,-14.25,0.18634140491485596
930000,22966.9,1.0,-10.7,0.2794036865234375
940000,23223.5,0.95,-13.3,0.20986482501029968
950000,23480.5,1.0,-10.95,0.2400965690612793
960000,23737.8,1.0,-11.45,0.1708376407623291
970000,23995.7,1.0,-11.15,0.13048230111598969
980000,24253.3,1.0,-10.65,0.19280877709388733
990000,24517.5,1.0,-10.75,0.2271975725889206
1000000,24775.8,0.95,-12.0,0.22049522399902344
1000000,24778.8,1.0,-10.85,0.5266562104225159
