env_steps,wall_clock_s,success_rate,mean_return,critic_loss
10000,32.1,0.05,-47.5,0.17238536477088928
20000,93.0,0.05,-47.5,0.28197377920150757
30000,183.9,0.05,-47.5,1.0074936151504517
40000,267.2,0.05,-47.5,0.910521924495697
50000,354.3,0.05,-47.5,2.7338459491729736
60000,437.1,0.05,-47.5,0.29919466376304626
70000,533.9,0.05,-47.5,0.16498589515686035
80000,619.3,0.05,-47.5,0.28933578729629517
90000,712.3,0.05,-47.5,1.2636353969573975
100000,810.2,0.05,-47.5,0.32681700587272644
110000,902.3,0.05,-47.5,0.4649902582168579
120000,958.1,0.05,-47.5,0.1458403468132019
130000,999.1,0.05,-47.5,0.05992143601179123
140000,1093.1,0.05,-47.5,0.5049175024032593
150000,1183.5,0.05,-47.5,0.11207257211208344
160000,1273.6,0.05,-47.5,0.06495136022567749
170000,1368.0,0.05,-47.5,0.35139745473861694
180000,1458.1,0.05,-47.5,0.08349956572055817
190000,1547.9,0.05,-47.5,0.056849319487810135
200000,1726.2,0.05,-47.5,0.02462756261229515
210000,1851.4,0.05,-47.5,0.07499158382415771
220000,1961.5,0.05,-47.5,0.07577638328075409
230000,2003.3,0.05,-47.5,0.1836804449558258
240000,2044.7,0.05,-47.5,0.18567681312561035
250000,2087.0,0.05,-47.5,0.22925543785095215
260000,2147.8,0.05,-47.5,1.0370099544525146
270000,2188.5,0.05,-47.5,0.5165172815322876
280000,2241.0,0.05,-47.5,0.05140221118927002
290000,2280.5,0.05,-47.5,0.08565592020750046
300000,2319.4,0.05,-47.5,0.03529306501150131
310000,2358.7,0.05,-47.5,0.07549695670604706
320000,2398.1,0.05,-47.5,0.04561334475874901
330000,2437.3,0.05,-47.5,0.027920909225940704
340000,2477.9,0.05,-47.5,0.07789741456508636
350000,2516.7,0.05,-47.5,0.10048625618219376
360000,2556.1,0.05,-47.5,0.11559591442346573
370000,2595.5,0.05,-47.5,0.09426356852054596
380000,2635.2,0.05,-47.5,0.09598170220851898
390000,2675.2,0.05,-47.5,0.12395700812339783
400000,2715.2,0.05,-47.5,0.03572564572095871
410000,2754.3,0.05,-47.5,0.05091980844736099
420000,2793.5,0.05,-47.5,0.03301134705543518
430000,2835.9,0.05,-47.5,0.1866794228553772
440000,2877.3,0.05,-47.5,0.150808185338974
450000,2917.1,0.05,-47.5,0.3598780632019043
460000,2956.9,0.05,-47.5,0.059489697217941284
470000,2996.3,0.05,-47.5,0.036248430609703064
480000,3036.6,0.05,-47.5,0.02591344714164734
490000,3076.3,0.05,-47.5,0.02551005408167839
500000,3117.9,0.05,-47.5,0.04786189645528793
510000,3158.1,0.05,-47.5,0.11085964739322662
520000,3201.3,0.05,-47.5,0.08885543048381805
530000,3256.4,0.05,-47.5,0.04053507000207901
540000,3313.6,0.05,-47.5,0.0726739913225174
550000,3371.4,0.05,-47.5,0.04159108176827431
560000,3423.2,0.05,-47.5,0.04666456580162048
570000,3477.9,0.05,-47.5,0.0763619989156723
580000,3522.1,0.05,-47.5,0.04944746568799019
590000,3566.5,0.05,-47.5,0.02327866293489933
600000,3612.3,0.05,-47.5,0.09125316888093948
610000,3658.2,0.05,-47.5,0.0181487575173378
620000,3732.3,0.05,-47.5,0.4394144117832184
630000,3794.2,0.05,-47.5,0.2310061752796173
640000,3836.6,0.05,-47.5,0.033691372722387314
650000,3878.8,0.05,-47.5,0.047900181263685226
660000,3920.3,0.05,-47.5,0.06489875912666321
670000,3963.3,0.05,-47.5,0.07345527410507202
680000,4005.3,0.05,-47.5,0.12869462370872498
690000,4047.9,0.05,-47.5,0.07221432030200958
700000,4089.4,0.05,-47.5,0.10353176295757294
710000,4131.8,0.05,-47.5,0.11879628896713257
720000,4174.8,0.05,-47.5,0.21781818568706512
730000,4221.7,0.05,-47.5,0.02719936892390251
740000,4291.1,0.05,-47.5,0.03789874166250229
750000,4334.5,0.05,-47.5,0.268831729888916
760000,4386.5,0.05,-47.5,0.015222220681607723
770000,4456.2,0.05,-47.5,0.04078633710741997
780000,4500.2,0.05,-47.5,0.15699420869350433
790000,4542.2,0.05,-47.5,0.10559597611427307
800000,4583.4,0.05,-47.5,0.028043922036886215
810000,4625.4,0.05,-47.5,0.07142345607280731
820000,4667.2,0.05,-47.5,0.017315052449703217
830000,4708.7,0.05,-47.5,0.06368719041347504
840000,4750.6,0.05,-47.5,0.0413774773478508
850000,4792.4,0.05,-47.5,0.0460435189306736
860000,4834.2,0.05,-47.5,0.020810887217521667
870000,4875.9,0.05,-47.5,0.031590066850185394
880000,4918.0,0.05,-47.5,0.1586863398551941
890000,4960.0,0.05,-47.5,0.11198712885379791
900000,5001.3,0.05,-47.5,0.13833126425743103
910000,5043.1,0.05,-47.5,0.14779400825500488
920000,5085.5,0.05,-47.5,0.07960998266935349
930000,5127.3,0.05,-47.5,0.20000386238098145
940000,5169.2,0.05,-47.5,0.3037370443344116
950000,5211.3,0.05,-47.5,0.05908845365047455
960000,5254.7,0.05,-47.5,0.0625336617231369
970000,5297.2,0.05,-47.5,0.07419955730438232
980000,5339.1,0.05,-47.5,0.1372571885585785
990000,5381.0,0.05,-47.5,0.08572454005479813
1000000,5422.9,0.05,-47.5,0.05400048568844795
1000000,5423.9,0.05,-47.5,0.2004813253879547
