env_steps,wall_clock_s,success_rate,mean_return,critic_loss,contact_frac
10000,23.4,0.05,-47.5,0.08876830089775567,0.12
20000,48.6,0.05,-47.5,0.08030571984667331,0.085
30000,73.7,0.05,-47.5,0.07460624169502407,0.075
40000,98.8,0.05,-47.5,0.07472847499856726,0.07
50000,124.4,0.05,-47.5,0.07709697328992188,0.065
60000,150.6,0.05,-47.5,0.07642764501338825,0.065
70000,174.8,0.05,-47.5,0.07578723827423528,0.12
80000,199.5,0.05,-47.5,0.08394196796882898,0.135
90000,223.6,0.05,-47.5,0.08550924509353935,0.13
100000,248.1,0.05,-47.5,0.0856939572303556,0.095
110000,272.4,0.05,-47.5,0.0893666372413747,0.095
120000,297.6,0.05,-47.5,0.09962270077178255,0.115
130000,321.9,0.05,-47.5,0.09757137394919992,0.08
140000,346.8,0.05,-47.5,0.09589498040853069,0.12
150000,375.8,0.05,-47.5,0.11293043155092745,0.105
160000,403.4,0.05,-47.5,0.11342579970210791,0.145
170000,432.2,0.1,-46.05,0.11848408747790382,0.18
180000,459.2,0.1,-45.45,0.12609999277647585,0.125
190000,484.5,0.05,-47.5,0.12148672078279778,0.135
200000,511.9,0.15,-43.45,0.12157410197257995,0.17
210000,540.6,0.05,-47.45,0.12746363948434591,0.14
220000,568.1,0.05,-47.5,0.13404347174670547,0.17
230000,597.0,0.05,-47.5,0.13162096412684768,0.14
240000,622.3,0.05,-47.5,0.14566133901998402,0.175
250000,647.4,0.05,-47.5,0.15330513569172471,0.205
260000,673.7,0.1,-45.5,0.1481008434602991,0.21
270000,704.5,0.1,-45.75,0.16159108491800725,0.18
280000,734.2,0.05,-47.5,0.16334627156089992,0.21
290000,763.9,0.1,-45.6,0.17252390667833387,0.255
300000,792.1,0.05,-47.2,0.1789402750948444,0.355
310000,817.7,0.1,-46.35,0.18397855437658728,0.395
320000,843.1,0.25,-42.6,0.2171631483471021,0.5
330000,869.4,0.35,-36.8,0.22201030891966075,0.38
340000,895.4,0.3,-41.25,0.2284843792170286,0.51
350000,922.6,0.3,-38.9,0.25340614075772466,0.5
360000,948.4,0.4,-37.3,0.26817315645255146,0.48
370000,973.8,0.35,-39.05,0.26980108515396717,0.55
