env_steps,wall_clock_s,success_rate,mean_return,critic_loss
10000,37.8,0.0,-49.7,0.08037904193038276
20000,80.7,0.05,-47.5,0.18917378358840942
30000,124.2,0.05,-47.5,0.18529689652621745
40000,170.1,0.05,-47.5,0.1779836018577218
50000,216.7,0.05,-47.5,0.23853956243842842
60000,268.2,0.05,-47.5,0.2754988111458719
70000,316.7,0.05,-47.5,0.3208931887961924
80000,371.0,0.05,-47.5,0.30069329920187593
90000,422.5,0.05,-47.5,0.2740802820287645
100000,474.2,0.05,-47.5,0.2469017062164843
110000,525.4,0.05,-47.5,0.32294513573870065
120000,576.7,0.1,-47.05,0.36832319987490775
130000,635.1,0.0,-49.35,0.35948204745575785
140000,692.1,0.05,-47.5,0.3562397650137544
150000,753.8,0.05,-47.5,0.35568033868893983
160000,814.3,0.05,-47.5,0.37579852921888235
170000,876.6,0.05,-47.5,0.3952712137527764
180000,932.3,0.05,-47.5,0.41477508304826916
