env_steps,wall_clock_s,success_rate,mean_return,critic_loss,contact_frac
10000,147.3,0.05,-47.5,0.07707120076068857,0.09
20000,315.4,0.05,-47.5,0.09045427283979952,0.095
30000,475.2,0.05,-47.5,0.09128176302593201,0.08
40000,637.4,0.05,-47.5,0.07967646540421992,0.05
50000,800.7,0.05,-47.5,0.0736411618316546,0.05
60000,962.8,0.05,-47.5,0.07546072348114104,0.05
70000,1128.0,0.05,-47.5,0.09160357078108937,0.05
80000,1293.5,0.05,-47.5,0.09771114529669285,0.06
90000,1458.7,0.05,-47.5,0.08468287690356374,0.065
100000,1624.8,0.05,-47.5,0.08471846666112542,0.075
110000,1791.3,0.05,-47.5,0.08245019731260836,0.065
120000,1958.0,0.05,-47.5,0.08081607982162387,0.08
130000,2136.5,0.05,-47.5,0.07829674674198031,0.055
140000,2316.2,0.05,-47.5,0.08937399579659104,0.05
150000,2485.4,0.05,-47.5,0.14422104289270937,0.045
160000,2654.7,0.05,-47.5,0.09176556805968285,0.065
170000,2824.1,0.05,-47.5,0.09858712508492172,0.075
180000,2994.3,0.05,-47.5,0.09801674072220921,0.045
190000,3168.5,0.05,-47.5,0.09575429353881627,0.03
200000,3339.3,0.05,-47.5,0.10040737929474562,0.04
210000,3516.0,0.05,-47.5,0.10307975149825216,0.04
220000,3688.4,0.05,-47.5,0.1140987574627623,0.07
230000,3859.9,0.05,-47.5,0.09974544459469617,0.05
240000,4031.3,0.05,-47.5,0.09886353066898883,0.08
250000,4203.1,0.05,-47.5,0.09145952368434519,0.06
260000,4376.8,0.05,-47.5,0.09169028744250536,0.02
270000,4548.7,0.05,-47.5,0.09305686502996832,0.055
280000,4721.1,0.05,-47.5,0.09487956985179336,0.055
290000,4904.4,0.05,-47.5,0.09866646071728319,0.035
300000,5077.0,0.05,-47.5,0.09923267882037907,0.035
310000,5248.0,0.05,-47.5,0.09974368287920952,0.04
320000,5419.9,0.05,-47.5,0.10145314274858683,0.045
330000,5590.7,0.05,-47.5,0.09567119186539202,0.04
340000,5763.3,0.05,-47.5,0.09596856222422794,0.035
350000,5936.3,0.05,-47.5,0.09164940139446408,0.06
360000,6109.1,0.05,-47.5,0.09095519591588527,0.045
370000,6281.8,0.05,-47.5,0.08873836418027058,0.06
380000,6455.2,0.05,-47.5,0.09031831397619099,0.045
390000,6629.3,0.05,-47.5,0.09171749823614955,0.06
400000,6809.4,0.05,-47.5,0.08840992524186149,0.055
410000,6982.7,0.05,-47.5,0.09110590803585947,0.04
420000,7157.8,0.05,-47.5,0.08763013465311378,0.065
430000,7330.2,0.05,-47.5,0.10676043389728293,0.055
440000,7502.1,0.05,-47.5,0.09207839341703802,0.025
450000,7676.2,0.05,-47.5,0.0919310311626643,0.055
460000,7850.3,0.05,-47.5,0.10035226071756333,0.05
470000,8023.0,0.05,-47.5,0.09564280617041514,0.04
480000,8196.1,0.05,-47.5,0.09488894680663944,0.065
490000,8370.6,0.05,-47.5,0.09012252429435029,0.04
500000,8545.8,0.05,-47.5,0.08657725928090512,0.085
510000,8720.2,0.05,-47.5,0.08732286855774,0.04
520000,8904.6,0.05,-47.5,0.08835515111945569,0.04
530000,9079.0,0.05,-47.5,0.08940373445292935,0.055
540000,9259.4,0.05,-47.5,0.2052246200029738,0.065
550000,9445.0,0.05,-47.5,0.45186504413709044,0.04
560000,9619.4,0.05,-47.5,0.11405344768203796,0.07
570000,9792.9,0.05,-47.5,0.10379164170641451,0.045
580000,9966.9,0.05,-47.5,0.09071380798313766,0.065
590000,10141.3,0.05,-47.5,0.09055098470607773,0.035
600000,10315.3,0.05,-47.5,0.08664627776462584,0.05
610000,10491.1,0.05,-47.5,0.11524992775339633,0.025
620000,10665.0,0.05,-47.5,0.09321768967295066,0.07
630000,10839.0,0.05,-47.5,0.11118083645179867,0.055
640000,11014.0,0.05,-47.5,0.092694309552107,0.07
650000,11187.6,0.05,-47.5,0.09196983248386532,0.08
660000,11362.6,0.05,-47.5,0.08487309396136553,0.04
670000,11536.9,0.05,-47.5,0.08593107538092881,0.06
680000,11711.2,0.05,-47.5,0.09062487048078328,0.045
690000,11887.2,0.05,-47.5,0.08875066784517839,0.06
700000,12064.7,0.05,-47.5,0.08680822517424822,0.065
710000,12238.6,0.05,-47.5,0.08915911186225713,0.095
720000,12418.3,0.05,-47.5,0.08706575411576778,0.05
730000,12596.5,0.05,-47.5,0.0897444336229004,0.06
740000,12772.5,0.05,-47.5,0.09246576569797471,0.085
750000,12948.3,0.05,-47.5,0.08512588799539954,0.06
760000,13123.5,0.05,-47.5,0.08864384685559198,0.045
770000,13309.8,0.05,-47.5,0.08474359006360173,0.075
780000,13486.2,0.05,-47.5,0.08610403859913349,0.065
790000,13668.1,0.05,-47.5,0.0831157385838218,0.06
800000,13843.5,0.05,-47.5,0.0830098612606991,0.045
810000,14021.0,0.05,-47.5,0.08537663396741263,0.06
820000,14195.4,0.05,-47.5,0.08399923235867172,0.06
830000,14371.1,0.05,-47.5,0.08695118715781719,0.075
840000,14556.1,0.05,-47.5,0.08344593509444967,0.08
850000,14731.7,0.05,-47.5,0.08129584179110826,0.09
860000,14907.6,0.05,-47.5,0.08211433380115778,0.075
870000,15085.4,0.05,-47.5,0.08051083403383381,0.035
880000,15261.7,0.05,-47.5,0.08033443443411961,0.08
890000,15435.9,0.05,-47.5,0.0812225807972718,0.045
900000,15610.2,0.05,-47.5,0.08065510007031262,0.035
910000,15783.9,0.05,-47.5,0.08154791277963667,0.045
920000,15957.8,0.05,-47.5,0.0820067263823934,0.06
930000,16132.4,0.05,-47.5,0.08590824403353035,0.065
940000,16315.2,0.05,-47.5,0.08558038559900596,0.08
950000,16501.1,0.05,-47.5,0.09053433600328863,0.05
960000,16688.0,0.05,-47.5,0.08843358121709897,0.045
970000,16865.2,0.05,-47.5,0.09854671907732263,0.055
980000,17039.6,0.05,-47.5,0.09190044629261829,0.065
990000,17209.8,0.05,-47.5,0.09233505756445229,0.07
1000000,17381.3,0.05,-47.5,0.08703985645342618,0.045
