env_steps,wall_clock_s,success_rate,mean_return,critic_loss
2500,4.5,0.0,-49.8,0.3379460105396086
5000,10.7,0.0,-48.5,0.17846069383919239
7500,16.6,1.0,-1.0,0.16279460237026214
10000,22.5,0.8,-14.8,0.10966647524535655
12500,28.4,1.0,-1.0,0.09520801913738251
15000,34.3,1.0,-1.2,0.0791615159407258
17500,40.1,1.0,-0.9,0.0737214440703392
20000,46.0,1.0,-1.1,0.06347596890032292
22500,51.8,1.0,-1.0,0.055701542185992
25000,57.6,1.0,-1.1,0.05010018472447991
27500,63.6,1.0,-0.9,0.04724027569666505
30000,69.3,1.0,-1.0,0.04469354509338737
32500,75.0,1.0,-0.9,0.04260468067005277
35000,80.7,1.0,-1.2,0.039197428523376585
37500,86.4,1.0,-0.9,0.03802206216715276
40000,92.1,1.0,-1.1,0.035594593154639004
42500,97.9,1.0,-1.4,0.03467527838535607
45000,103.7,1.0,-0.9,0.036923254201188686
47500,109.5,0.9,-8.2,0.03289555844068527
50000,115.5,1.0,-3.1,0.031378789186105135
